flight id:701
flight code:F-14B
origin:US
date:2011-06-01
from:beslan
to:gelendzhik
motor(s):2
mass aircraft:44040
mass fuel:44040
lift coef:1.3582186375634022
drag coef:0.017830377164784177

timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,air_speed,engine_0,engine_1,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893619.75,2.9873018,5.9620634,-3.28084,-1.0,0.0,-1.0,963972.8326843999,-23840.453518799997,77.57404679436088,2840.9898923381274,2840.9898923381274,296.2651975602559,0.07584258337788914,3.4722093119262554,93.8,0.3500657566743731
1306893621.64,2.9878126,5.9624516,-3.28084,-1.0,-0.1,-1.0,964096.2578852001,-23690.8144064,77.57404679436088,2662.6291654880806,2662.6291654880806,297.6383409237018,0.07486579874589849,3.4554502095491033,96.2,0.34989052701558043
1306893622.9,2.9882154,5.9627577,-3.28084,-1.0,-0.2,-1.0,964193.5675996,-23572.8354,90.34668959729272,2084.4434598846633,2084.4434598846633,296.5566818692148,0.07242306649280747,3.4768715387033007,98.39999999999999,0.3497152973567878
1306893623.95,2.9885933,5.9630449,-3.28084,-1.0,-0.3,-1.0,964284.9061852001,-23462.10705,100.79410028459617,1471.7098507328033,1471.7098507328033,296.6736324287905,0.07392061479384816,3.619536954616206,98.39999999999999,0.3495400676979951
1306893624.79,2.9889188,5.9632923,71.7847792,-1.0,-0.4,-1.0,964363.54792,-23366.765839599997,123.91644719911154,937.6207239343328,937.6207239343328,296.33124385487673,0.07566314847332849,3.5648933468277604,101.2,0.34953999114506423
1306893625.42,2.9891776,5.963489,71.8175876,-1.0,-0.5,-1.0,964426.0807303999,-23290.9456272,113.9470050114973,937.6207239343325,937.6207239343325,296.33124385487673,0.07566314847332847,3.564893346827761,101.2,0.34953999114506423
1306893626.68,2.9897376,5.9639146,71.8175876,-1.0,-0.7,-1.0,964561.4153804,-23126.9036272,122.65720287364867,1471.7098507328033,1471.7098507328033,296.6736324287905,0.07392061479384816,3.6195369546162075,98.4,0.3495400676979951
1306893629.62,2.9912416,5.9650576,71.8175876,-1.0,-1.0,-1.0,964924.8668356001,-22686.286815199997,140.03846722944928,2084.443459884663,2084.443459884663,296.5566818692148,0.07242306649280747,3.476871538703301,98.4,0.3497152973567878
1306893630.46,2.9917223,5.9654229,71.8175876,-1.0,-1.1,-1.0,965041.04138,-22545.473162399998,155.74900668760236,2662.6291654880806,2662.6291654880806,297.6383409237018,0.07486579874589849,3.4554502095491024,96.19999999999999,0.34989052701558043
1306893631.3,2.9922253,5.9658051,71.8175876,-1.0,-1.2,-1.0,965162.5308852001,-22398.1634464,162.56135026345265,2840.9898923381265,2840.9898923381265,296.2651975602559,0.07584258337788914,3.4722093119262554,93.79999999999998,0.3500657566743731
