flight id:801
flight code:F-15C
origin:US
date:2011-06-01
from:krymsk
to:gudauta
motor(s):2
mass aircraft:29498
mass fuel:29498
lift coef:1.408162940600709
drag coef:0.016385370250972982

timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading,air_speed,engine_0,engine_1,temperature_in,humidity_in,heart_rate,oxygen_mask
1306893630.65,7.487179,3.1783563,-3.28084,-1.0,-0.8,-1.0,2245197.9393004,-934220.6335696,-1.0,303.5816715974697,9008.481578812305,9008.481578812305,298.2467768634541,0.0739907205872823,89.3,0.2648530817381864
1306893631.07,7.4868134,3.1783103,155.64304959999998,-1.0,2.4,-1.0,2245100.5639692,-934248.6191347999,-1.0,303.5816715974697,10034.899300312809,10034.899300312809,297.2937406349958,0.07297198175038046,90.4,0.26484787613888633
1306893631.49,7.4864484,3.1782644,155.77428319999999,-1.0,4.7,-1.0,2245003.35268,-934276.4078496,-1.0,159.65793042418497,13353.349084313753,13353.349084313753,298.50608113070916,0.07547513905851133,88.9,0.2648458857626833
1306893631.91,7.4860695,3.1782167,155.8727084,-1.0,6.3,-1.0,2244902.46685,-934305.31205,-1.0,165.88203772515539,17931.101716150486,17931.101716150486,298.21232563349395,0.07678290830280414,86.9,0.26484527333923624
1306893632.33,7.4856834,3.1781682,155.9383252,-1.0,7.3,-1.0,2244799.7437496,-934334.83961,-1.0,169.01983381369686,21325.089285028247,21325.089285028247,297.0994719969971,0.07388162369867181,85.6,0.26484504368044365
1306893632.75,7.4852914,3.1781188,156.003942,-1.0,7.9,-1.0,2244695.3802292,-934364.6624456,-1.0,171.72038194631227,21325.08928502825,21325.08928502825,297.0994719969971,0.07388162369867182,85.6,0.2648450436804436
1306893633.17,7.4848934,3.1780688,156.03675040000002,-1.0,8.4,-1.0,2244589.5731392,-934395.1414492,-1.0,174.25051800835467,17931.101716150486,17931.101716150486,298.21232563349395,0.07678290830280414,86.90000000000002,0.26484527333923624
1306893633.59,7.4844819,3.178017,156.1351756,-1.0,8.8,-1.0,2244480.0587,-934426.5062796,-1.0,180.43850493703007,13353.349084313757,13353.349084313757,298.50608113070916,0.07547513905851132,88.9,0.2648458857626833
1306893634.01,7.4840754,3.1779659,156.6273016,-1.0,9.2,-1.0,2244371.79098,-934457.5758343999,-1.0,178.36027590990253,10034.89930031281,10034.89930031281,297.2937406349958,0.07297198175038044,90.4,0.2648478761388863
1306893634.43,7.4836482,3.1779121,157.87402079999998,-1.0,9.7,-1.0,2244258.2082992,-934490.1545756,-1.0,187.33395449898157,9008.481578812305,9008.481578812305,298.2467768634541,0.07399072058728232,89.30000000000001,0.2648530817381864
1306893634.85,7.4832194,3.177858,160.10499199999998,-1.0,9.9,-1.0,2244143.9694504,-934522.8645504,-1.0,188.44309459441874,9542.782521501462,9542.782521501462,298.9985377429892,0.07396717918058261,90.1,0.2652343153339869
1306893635.27,7.4827808,3.1778026,163.4842572,-1.0,10.1,-1.0,2244027.30278,-934556.4931604,-1.0,192.6717664218702,10102.090082273613,10102.090082273613,298.9501331031189,0.07424569135247373,91.4,0.2652526114844681
1306893638.63,7.4789812,3.1773113,238.81234360000002,0.2,10.1,-1.0,2243016.6072095996,-934851.2766343999,-1.0,209.6549217672517,10428.750023942754,10428.750023942754,300.1641116845129,0.07487995035099548,93.7,0.2654463669525346
1306893639.47,7.4779076,3.1771663,273.91733159999995,0.3,10.1,-1.0,2242731.1741295997,-934936.87375,-1.0,238.97818371760826,11082.241508674799,11082.241508674799,298.49371108952397,0.07571805650512997,96.5,0.2657218043978539
1306893639.89,7.4773579,3.1770906,294.12730600000003,0.4,10.1,-1.0,2242585.1767495996,-934981.16509,-1.0,245.25335095697062,12794.01929091175,12794.01929091175,298.2919654576344,0.07579264938894101,95.3,0.2660442453427358
1306893640.31,7.4767896,3.1770113,316.5026348,0.5,10.1,-1.0,2242434.2581096,-935027.2937004,-1.0,254.15307187098927,14830.501514769267,14830.501514769267,297.6886786720573,0.07405495223902987,97.10000000000001,0.26641874228061857
1306893640.73,7.4762083,3.1769289,340.8464676,0.6,10.1,-1.0,2242279.8617792,-935075.0955392,-1.0,260.7252555172878,17717.393936610984,17717.393936610984,298.0980042929679,0.0728347708236219,96.0,0.2668499649402861
1306893641.57,7.4750054,3.1767539,394.8162856,0.9,10.1,-1.0,2241960.5704304003,-935175.4564347999,-1.0,270.53714730296286,21388.366659634186,21388.366659634186,298.7293741922264,0.07308998754009659,93.8,0.2674068875124646
1306893641.99,7.4743848,3.1766615,423.4580188,1.1,9.8,-1.0,2241796.1347295996,-935228.0483,-1.0,279.42291906229894,24329.190014681433,24329.190014681433,300.8461408392085,0.07293994438846552,94.89999999999998,0.2680294924993412
1306893642.41,7.473747,3.1765649,452.49345279999994,1.3,9.4,-1.0,2241626.9746192,-935282.7070944,-1.0,287.72133458231554,27031.710180839407,27031.710180839407,300.97762570362914,0.07509036012824204,94.10000000000001,0.2687169378186763
1306893642.83,7.4731023,3.1764658,480.8399104,1.6,9.0,-1.0,2241456.1412804,-935338.4813743999,-1.0,290.62276999170274,29392.772659013903,29392.772659013903,301.9049227408806,0.0739527939750395,95.60000000000002,0.2694653192709948
1306893643.25,7.4724376,3.1763622,508.46458319999994,1.9,8.6,-1.0,2241280.0257892,-935396.3882003999,-1.0,299.54322930252584,31029.155541977125,31029.155541977125,301.60539213199627,0.07408152700522729,93.00000000000001,0.27027027333923626
1306893643.67,7.4717502,3.1762539,535.0065787999999,2.2,8.3,-1.0,2241097.9391692,-935456.7884647999,-1.0,309.6344980533007,32694.36143303526,32694.36143303526,299.7280470366077,0.0720415086640808,93.60000000000001,0.2709613931992537
1306893644.09,7.4710542,3.176143,559.5144536,2.6,8.0,-1.0,2240913.5887696,-935518.40264,-1.0,313.2526986785382,35321.91760703833,35321.91760703833,301.40506180616103,0.07149191095750111,91.50000000000001,0.2716277864625958
1306893644.51,7.4703358,3.1760277,582.2834832,3.0,7.8,260.9,2240723.4969,-935582.2805947999,-1.0,322.83160663605213,37407.97941338112,37407.97941338112,301.2842737347471,0.07269434549027996,90.40000000000002,0.2723001508545468
1306893644.93,7.4696081,3.1759103,602.8215416,3.4,7.8,260.9,2240530.74755,-935647.2740352001,-1.0,327.07124692590776,40222.61369939263,40222.61369939263,300.88176355097045,0.07329399563842409,88.70000000000002,0.27296822828236833
1306893645.35,7.4688531,3.1757881,621.6207548,3.8,7.8,261.0,2240331.0428192,-935714.7281056001,-1.0,338.71572400481125,42998.216967372566,42998.216967372566,299.2766562422036,0.07419049376666158,86.10000000000001,0.2736233682648705
1306893645.77,7.4680852,3.1756639,639.0092068,4.2,8.0,261.0,2240127.6307392,-935783.33047,-1.0,344.7958637342694,45738.29415190737,45738.29415190737,296.34806593675665,0.0753496328214342,88.30000000000001,0.2741931517294374
1306893646.19,7.4672915,3.1755363,656.2008083999999,4.4,8.3,261.0,2239917.6569792,-935854.0653803999,-1.0,355.9347753535747,48649.66594541201,48649.66594541201,296.04451696795866,0.07843473502128287,86.5,0.274736218221126
1306893646.61,7.4664834,3.1754082,673.8189192,4.6,8.7,261.3,2239703.5821692,-935925.3252252,-1.0,362.5750091391793,52357.16751215968,52357.16751215968,295.1983823496035,0.07682378522905099,89.50000000000001,0.27525264429286705
1306893647.03,7.4656615,3.1752798,692.5197072000001,4.6,9.1,261.4,2239485.80001,-935997.1100043999,-1.0,368.696376470042,55907.48422653919,55907.48422653919,295.54700886842465,0.07945155158502672,87.60000000000001,0.2757465638029283
1306893647.46,7.4648061,3.1751484,713.254616,4.6,9.4,261.4,2239259.0283492,-936071.0273296,-1.0,374.8509089349301,59499.21553061018,59499.21553061018,296.2445564919303,0.0809255126499179,88.80000000000001,0.27622440719750396
