flight id:101
flight code:MiG-29A
origin:RU
date:2011-06-01
from:kutaisi
to:batumi
motor(s):2
mass aircraft:10922.041768
mass fuel:10922.041768
lift coef:1.604765498192893
drag coef:0.011066253455886965

timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading,air_speed,engine_0,engine_1,temperature_in,humidity_in,pressure_in,heart_rate
1306893621.61,3.016743,5.5767575,-1.0,-1.0,2.0,-1.0,298787.0,-49925.12,-1.0,41.36980881519973,4295705.335457829,4295705.335457829,27.77733831288579,6.6608449936679435,24326.316529979922,92.10000000000001
1306893624.34,3.0156858,5.5759625,-1.0,-1.0,1.9,-1.0,298708.5,-50018.59,-1.0,41.36980881519973,3398294.6944495123,3398294.6944495123,27.28820642085162,6.652151880394979,23840.293233577257,93.50000000000001
1306893626.45,3.0147038,5.575224,-1.0,-1.0,1.8,-1.0,298635.56,-50105.43,-1.0,50.403251517092144,2546820.9010321447,2546820.9010321447,27.34912907678376,6.696352718414153,23973.427901429695,94.90000000000002
1306893628.97,3.0133433,5.5742009,-1.0,-1.0,1.7,-1.0,298534.53,-50225.73,-1.0,58.99244588363753,1783391.4228477473,1783391.4228477473,26.184852795113443,6.5482637474893535,23355.912294123904,93.30000000000001
1306893631.91,3.011488,5.5728056,23.66,-1.0,2.2,-1.0,298396.78,-50389.8,-1.0,70.02160333525305,1218149.6084753368,1218149.6084753368,27.629620385148094,6.548446329835912,23551.165865984003,90.80000000000001
1306893632.33,3.011199,5.5725882,23.71,-1.0,4.8,-1.0,298375.31,-50415.36,-1.0,76.12781394202852,1218149.608475337,1218149.608475337,27.629620385148094,6.548446329835912,23551.165865984003,90.8
1306893632.75,3.0109056,5.5723675,23.74,-1.0,6.5,-1.0,298353.5,-50441.31,-1.0,77.35960574963447,1783391.4228477473,1783391.4228477473,26.18485279511344,6.548263747489353,23355.912294123904,93.3
1306893633.17,3.0106078,5.5721436,23.76,-1.0,7.6,-1.0,298331.41,-50467.64,-1.0,78.47983862085287,2546820.9010321447,2546820.9010321447,27.34912907678376,6.696352718414152,23973.427901429695,94.9
1306893633.59,3.0103,5.5719121,23.77,-1.0,8.4,-1.0,298308.53,-50494.87,-1.0,81.33111089943529,3398294.6944495123,3398294.6944495123,27.288206420851623,6.652151880394978,23840.293233577253,93.49999999999999
1306893634.01,3.0099959,5.5716834,23.77,-1.0,8.8,-1.0,298285.97,-50521.75,-1.0,80.2023111776678,4295705.335457829,4295705.335457829,27.77733831288579,6.660844993667944,24326.316529979922,92.10000000000001
1306893634.43,3.0096766,5.5714432,23.79,-1.0,9.2,-1.0,298262.25,-50550.0,-1.0,84.47616810404388,4709977.183147214,4709977.183147214,28.230676204924098,6.417948480717884,24283.144327197115,93.1
1306893634.85,3.0093561,5.5712022,23.85,-1.0,9.5,-1.0,298238.44,-50578.34,-1.0,84.77859588237874,4909571.688778706,4909571.688778706,27.915277589290998,6.41620077110283,24891.308073911518,94.60000000000002
1306893635.27,3.0090283,5.5709556,24.07,-1.0,10.0,-1.0,298214.09,-50607.33,-1.0,86.7915921118556,5003769.587201293,5003769.587201293,27.957261971294123,6.392155612650314,24427.997679438544,90.90000000000002
1306893635.69,3.0086922,5.5707027,24.53,-1.0,10.3,-1.0,298189.16,-50637.06,-1.0,89.0327576950145,5011423.412342837,5011423.412342837,27.49825675229301,6.360183355329191,25048.48111643536,91.7
