flight id:201
flight code:MiG-23MLD
origin:RU
date:2011-06-01
from:gudauta
to:gelendzhik
motor(s):1
mass aircraft:10550.096328
mass fuel:10550.096328
lift coef:1.9060340730520209
drag coef:0.012773573396515615

timestamp,longitude,latitude,altitude,roll,pitch,u,v,heading,air_speed,engine_0,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893628.55,10.0324795,2.6236974,-1.0,-1.0,1.3,903670.75,-319595.84,-1.0,153.3277077345789,7205907.944210284,24.079957383634675,7.021964118409824,24046.585557283543,93.2,29.681249541524696
1306893631.91,10.0309981,2.6252013,466.78,-1.0,2.5,903523.38,-319445.97,-1.0,153.3277077345789,14324034.095555916,25.476162341214458,7.060902590927356,24403.049990223542,96.0,29.680958640387338
1306893632.33,10.030791,2.6254116,466.87,-1.0,4.8,903502.75,-319425.03,-1.0,71.66433863230134,26862591.529203847,25.03567183049071,7.144599674151511,24538.970957477326,96.6,29.68082084511175
1306893632.75,10.0305802,2.6256255,466.92,-1.0,6.3,903481.75,-319403.72,-1.0,72.90824495680407,39806494.546953656,24.14480754634659,7.066728229379484,24537.148031401568,94.2,29.680751947473954
1306893633.17,10.0303658,2.6258432,466.96,-1.0,7.3,903460.44,-319382.03,-1.0,74.07443755998673,48498003.24802639,24.145528762384817,7.339450183146486,24234.090376132615,94.39999999999999,29.680713671008515
1306893633.59,10.0301437,2.6260687,466.99,-1.0,7.9,903438.31,-319359.56,-1.0,76.76125896573124,48498003.24802638,24.14552876238482,7.339450183146485,24234.090376132615,94.4,29.680713671008515
1306893634.01,10.0299238,2.6262919,467.01,-1.0,8.4,903416.44,-319337.31,-1.0,75.95748937112317,39806494.546953656,24.144807546346595,7.066728229379484,24537.148031401568,94.20000000000002,29.680751947473958
1306893634.43,10.0296923,2.6265269,467.01,-1.0,8.6,903393.44,-319313.88,-1.0,79.84587119329034,26862591.529203847,25.035671830490706,7.144599674151511,24538.970957477322,96.60000000000002,29.680820845111754
1306893634.85,10.0294594,2.6267633,467.05,-1.0,8.9,903370.25,-319290.34,-1.0,80.34390428674537,14324034.095555916,25.476162341214454,7.060902590927356,24403.049990223542,96.00000000000001,29.680958640387338
1306893635.27,10.0292209,2.6270054,467.16,-1.0,9.2,903346.5,-319266.22,-1.0,82.26295600459547,7205907.944210288,24.079957383634675,7.021964118409824,24046.585557283543,93.20000000000003,29.6812495415247
